Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../config/files/datastore_paths.yaml file
Data has been correctly loaded from ../../data/datastores/cpg950_coding_genes_original_data.json file
Key: AHR, Methylation Islands Number: 45
Key: AHRR, Methylation Islands Number: 106
Key: AHSA1, Methylation Islands Number: 79
Key: AHSG, Methylation Islands Number: 103
Key: AHSP, Methylation Islands Number: 123
Key: AICDA, Methylation Islands Number: 60
Key: AIDA, Methylation Islands Number: 51
Key: AIF1, Methylation Islands Number: 585
Key: AIF1L, Methylation Islands Number: 100
Key: AIFM1, Methylation Islands Number: 85
Key: AIFM2, Methylation Islands Number: 109
Key: AIFM3, Methylation Islands Number: 175
Key: AIG1, Methylation Islands Number: 41
Key: AIM2, Methylation Islands Number: 38
Key: AIMP1, Methylation Islands Number: 49
Key: AIMP2, Methylation Islands Number: 75
Key: AIP, Methylation Islands Number: 283
Key: AIPL1, Methylation Islands Number: 87
Key: AIRE, Methylation Islands Number: 161
Key: AJAP1, Methylation Islands Number: 83
Key: AJUBA, Methylation Islands Number: 162
Key: AK1, Methylation Islands Number: 208
Key: AK2, Methylation Islands Number: 102
Key: AK3, Methylation Islands Number: 63
Key: AK4, Methylation Islands Number: 54
Key: AK5, Methylation Islands Number: 49
Key: AK7, Methylation Islands Number: 65
Key: AK8, Methylation Islands Number: 94
Key: AKAP1, Methylation Islands Number: 102
Key: AKAP10, Methylation Islands Number: 50
Key: AKAP11, Methylation Islands Number: 31
Key: AKAP12, Methylation Islands Number: 54
Key: AKAP13, Methylation Islands Number: 57
Key: AKAP14, Methylation Islands Number: 79
Key: AKAP17A, Methylation Islands Number: 52
Key: AKAP3, Methylation Islands Number: 58
Key: AKAP4, Methylation Islands Number: 22
Key: AKAP5, Methylation Islands Number: 84
Key: AKAP6, Methylation Islands Number: 27
Key: AKAP7, Methylation Islands Number: 31
Key: AKAP8, Methylation Islands Number: 125
Key: AKAP8L, Methylation Islands Number: 166
Key: AKAP9, Methylation Islands Number: 40
Key: AKIP1, Methylation Islands Number: 93
Key: AKIRIN1, Methylation Islands Number: 79
Key: AKIRIN2, Methylation Islands Number: 54
Key: AKNA, Methylation Islands Number: 100
Key: AKNAD1, Methylation Islands Number: 32
Key: AKR1A1, Methylation Islands Number: 132
Key: AKR1B1, Methylation Islands Number: 50
Key: AKR1B10, Methylation Islands Number: 28
Key: AKR1B15, Methylation Islands Number: 32
Key: AKR1C1, Methylation Islands Number: 28
Key: AKR1C2, Methylation Islands Number: 33
Key: AKR1C3, Methylation Islands Number: 29
Key: AKR1C4, Methylation Islands Number: 24
Key: AKR1D1, Methylation Islands Number: 32
Key: AKR1E2, Methylation Islands Number: 54
Key: AKR7A2, Methylation Islands Number: 105
Key: AKR7A3, Methylation Islands Number: 98
Key: AKR7L, Methylation Islands Number: 105
Key: AKT1, Methylation Islands Number: 201
Key: AKT1S1, Methylation Islands Number: 215
Key: AKT2, Methylation Islands Number: 168
Key: AKT3, Methylation Islands Number: 36
Key: AKTIP, Methylation Islands Number: 59
Key: ALAD, Methylation Islands Number: 119
Key: ALAS1, Methylation Islands Number: 142
Key: ALAS2, Methylation Islands Number: 58
Key: ALB, Methylation Islands Number: 45
Key: ALCAM, Methylation Islands Number: 50
Key: ALDH16A1, Methylation Islands Number: 226
Key: ALDH18A1, Methylation Islands Number: 57
Key: ALDH1A1, Methylation Islands Number: 33
Key: ALDH1A2, Methylation Islands Number: 40
Key: ALDH1A3, Methylation Islands Number: 118
Key: ALDH1B1, Methylation Islands Number: 63
Key: ALDH1L1, Methylation Islands Number: 79
Key: ALDH1L2, Methylation Islands Number: 70
Key: ALDH2, Methylation Islands Number: 82
Key: ALDH3A1, Methylation Islands Number: 102
Key: ALDH3A2, Methylation Islands Number: 76
Key: ALDH3B1, Methylation Islands Number: 156
Key: ALDH3B2, Methylation Islands Number: 131
Key: ALDH4A1, Methylation Islands Number: 157
Key: ALDH5A1, Methylation Islands Number: 54
Key: ALDH6A1, Methylation Islands Number: 53
Key: ALDH7A1, Methylation Islands Number: 58
Key: ALDH8A1, Methylation Islands Number: 46
Key: ALDH9A1, Methylation Islands Number: 47
Key: ALDOA, Methylation Islands Number: 230
Key: ALDOB, Methylation Islands Number: 84
Key: ALDOC, Methylation Islands Number: 116
Key: ALG1, Methylation Islands Number: 83
Key: ALG10, Methylation Islands Number: 11
Key: ALG10B, Methylation Islands Number: 10
Key: ALG11, Methylation Islands Number: 62
Key: ALG12, Methylation Islands Number: 167
Key: ALG13, Methylation Islands Number: 30
Key: ALG14, Methylation Islands Number: 69
Key: ALG2, Methylation Islands Number: 63
Key: ALG3, Methylation Islands Number: 167
Key: ALG5, Methylation Islands Number: 65
Key: ALG6, Methylation Islands Number: 93
Key: ALG8, Methylation Islands Number: 118
Key: ALG9, Methylation Islands Number: 135
Key: ALK, Methylation Islands Number: 42
Key: ALKBH1, Methylation Islands Number: 73
Key: ALKBH2, Methylation Islands Number: 116
Key: ALKBH3, Methylation Islands Number: 93
Key: ALKBH4, Methylation Islands Number: 96
Key: ALKBH5, Methylation Islands Number: 127
Key: ALKBH6, Methylation Islands Number: 125
Key: ALKBH7, Methylation Islands Number: 106
Key: ALKBH8, Methylation Islands Number: 40
Key: ALLC, Methylation Islands Number: 170
Key: ALMS1, Methylation Islands Number: 35
Key: ALOX12, Methylation Islands Number: 160
Key: ALOX12B, Methylation Islands Number: 176
Key: ALOX15, Methylation Islands Number: 124
Key: ALOX15B, Methylation Islands Number: 123
Key: ALOX5, Methylation Islands Number: 55
Key: ALOX5AP, Methylation Islands Number: 66
Key: ALOXE3, Methylation Islands Number: 199
Key: ALPI, Methylation Islands Number: 100
Key: ALPK1, Methylation Islands Number: 68
Key: ALPK2, Methylation Islands Number: 71
Key: ALPK3, Methylation Islands Number: 81
Key: ALPL, Methylation Islands Number: 76
Key: ALPP, Methylation Islands Number: 87
Key: ALS2, Methylation Islands Number: 56
Key: ALS2CL, Methylation Islands Number: 119
Key: ALX1, Methylation Islands Number: 30
Key: ALX3, Methylation Islands Number: 132
Key: ALX4, Methylation Islands Number: 123
Key: ALYREF, Methylation Islands Number: 333
Key: AMACR, Methylation Islands Number: 69
Key: AMBN, Methylation Islands Number: 31
Key: AMBP, Methylation Islands Number: 78
Key: AMBRA1, Methylation Islands Number: 79
Key: AMD1, Methylation Islands Number: 84
Key: AMDHD1, Methylation Islands Number: 68
Key: AMDHD2, Methylation Islands Number: 172
Key: AMELX, Methylation Islands Number: 29
Key: AMELY, Methylation Islands Number: 21
Key: AMFR, Methylation Islands Number: 86
Key: AMH, Methylation Islands Number: 244
Key: AMHR2, Methylation Islands Number: 102
Key: AMIGO1, Methylation Islands Number: 129
Key: AMIGO2, Methylation Islands Number: 51
Key: AMIGO3, Methylation Islands Number: 125
Key: AMMECR1, Methylation Islands Number: 34
Key: AMMECR1L, Methylation Islands Number: 58
Key: AMN, Methylation Islands Number: 164
Key: AMN1, Methylation Islands Number: 43
Key: AMOT, Methylation Islands Number: 41
Key: AMOTL1, Methylation Islands Number: 88
Key: AMOTL2, Methylation Islands Number: 111
Key: AMPD1, Methylation Islands Number: 81
Key: AMPD2, Methylation Islands Number: 132
Key: AMPD3, Methylation Islands Number: 92
Key: AMPH, Methylation Islands Number: 38
Key: AMT, Methylation Islands Number: 115
Key: AMTN, Methylation Islands Number: 23
Key: AMY2A, Methylation Islands Number: 17
Key: AMY2B, Methylation Islands Number: 40
Key: AMZ1, Methylation Islands Number: 212
Key: AMZ2, Methylation Islands Number: 91
Key: ANAPC1, Methylation Islands Number: 37
Key: ANAPC10, Methylation Islands Number: 51
Key: ANAPC11, Methylation Islands Number: 333
